Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
07.3;Transporte público;Grupos;201701;100,6017;0,6;NA;GBA
08.3;Servicios de telefonía e internet;Grupos;201701;103,8511;3,9;NA;GBA
09.1;Equipos audiovisuales, fotográficos y de procesamiento de la información;Grupos;201701;101,4745;1,5;NA;GBA
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201702;101,4084;0,2;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201702;101,2819;0,2;NA;Patagonia
07.1;Adquisición de vehículos;Grupos;201702;103,7126;2,3;NA;Cuyo
07.1;Adquisición de vehículos;Grupos;201702;102,0182;0,9;NA;Patagonia
07.2;Funcionamiento de equipos de transporte personal;Grupos;201702;105,2356;2,7;NA;Pampeana
07.2;Funcionamiento de equipos de transporte personal;Grupos;201702;100,6973;0,9;NA;Noreste
07.2;Funcionamiento de equipos de transporte personal;Grupos;201702;105,9184;2,8;NA;Noroeste
07.2;Funcionamiento de equipos de transporte personal;Grupos;201702;105,1403;2,5;NA;Cuyo
07.2;Funcionamiento de equipos de transporte personal;Grupos;201702;106,5172;2,5;NA;Patagonia
07.3;Transporte público;Grupos;201702;106,4962;2,6;NA;Pampeana
07.3;Transporte público;Grupos;201702;100,9873;0,7;NA;Noreste
07.3;Transporte público;Grupos;201702;106,584;2,9;NA;Noroeste
07.3;Transporte público;Grupos;201702;106,4141;1,9;NA;Cuyo
07.3;Transporte público;Grupos;201702;103,9944;2,2;NA;Patagonia
08.3;Servicios de telefonía e internet;Grupos;201702;106,9241;4,7;NA;Pampeana
08.3;Servicios de telefonía e internet;Grupos;201702;107,4178;4,3;NA;Noreste
08.3;Servicios de telefonía e internet;Grupos;201702;107,4409;3;NA;Noroeste
08.3;Servicios de telefonía e internet;Grupos;201702;105,0145;2,2;NA;Cuyo
08.3;Servicios de telefonía e internet;Grupos;201702;105,5604;3,9;NA;Patagonia
09.4;Servicios recreativos y culturales;Grupos;201702;106,921;2,4;NA;Pampeana
09.4;Servicios recreativos y culturales;Grupos;201702;107,4875;2,2;NA;Noreste
09.4;Servicios recreativos y culturales;Grupos;201702;107,1831;1,6;NA;Noroeste
09.4;Servicios recreativos y culturales;Grupos;201702;106,161;3,7;NA;Cuyo
09.4;Servicios recreativos y culturales;Grupos;201702;106,0241;3,5;NA;Patagonia
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201702;104,3379;2;NA;Pampeana
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201702;107,4075;5,2;NA;Noreste
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201702;103,0963;0,6;NA;Noroeste
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201702;104,8766;2,6;NA;Cuyo
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201702;103,3923;1,6;NA;Patagonia
11.1;Restaurantes y comidas fuera del hogar;Grupos;201702;103,8897;1,4;NA;Pampeana
11.1;Restaurantes y comidas fuera del hogar;Grupos;201702;107,9867;4;NA;Noreste
11.1;Restaurantes y comidas fuera del hogar;Grupos;201702;102,9901;0,9;NA;Noroeste
11.1;Restaurantes y comidas fuera del hogar;Grupos;201702;102,8799;2;NA;Cuyo
11.1;Restaurantes y comidas fuera del hogar;Grupos;201702;105,1077;3,5;NA;Patagonia
12.1;Cuidado personal;Grupos;201702;103,5691;1,6;NA;Pampeana
12.1;Cuidado personal;Grupos;201702;103,1591;1,2;NA;Noreste
12.1;Cuidado personal;Grupos;201702;102,7532;1,4;NA;Noroeste
12.1;Cuidado personal;Grupos;201702;102,7663;0,9;NA;Cuyo
12.1;Cuidado personal;Grupos;201702;103,5612;1,7;NA;Patagonia
01.1.1;Pan y cereales;Clase;201702;103,1425;1,7;NA;Pampeana
01.1.1;Pan y cereales;Clase;201702;102,894;1,2;NA;Noreste
01.1.1;Pan y cereales;Clase;201702;101,6416;2,8;NA;Noroeste
01.1.1;Pan y cereales;Clase;201702;103,4011;1,7;NA;Cuyo
01.1.1;Pan y cereales;Clase;201702;102,617;1,8;NA;Patagonia
01.1.2;Carnes y derivados;Clase;201702;100,0403;0,4;NA;Pampeana
01.1.2;Carnes y derivados;Clase;201702;100,6351;0,4;NA;Noreste
01.1.2;Carnes y derivados;Clase;201702;100,8993;0,8;NA;Noroeste
01.1.2;Carnes y derivados;Clase;201702;100,1186;0;NA;Cuyo
01.1.2;Carnes y derivados;Clase;201702;101,1143;0,8;NA;Patagonia
01.1.4;Leche, productos lácteos y huevos;Clase;201702;105,3814;2,9;NA;Pampeana
01.1.4;Leche, productos lácteos y huevos;Clase;201702;105,4341;2,4;NA;Noreste
01.1.4;Leche, productos lácteos y huevos;Clase;201702;104,6783;2,3;NA;Noroeste
04.1.1;Alquiler de la vivienda;Clase;201702;104,7158;2;NA;Noroeste
04.1.1;Alquiler de la vivienda;Clase;201702;105,7027;1,5;NA;Cuyo
04.1.1;Alquiler de la vivienda;Clase;201702;104,9852;2;NA;Patagonia
06.4.1;Gastos de prepagas;Clase;201702;105,1374;3;NA;Pampeana
06.4.1;Gastos de prepagas;Clase;201702;105,6895;4,3;NA;Noreste
06.4.1;Gastos de prepagas;Clase;201702;102,1886;1,5;NA;Noroeste
06.4.1;Gastos de prepagas;Clase;201702;103,7753;3,9;NA;Cuyo
06.4.1;Gastos de prepagas;Clase;201702;106,1222;4,8;NA;Patagonia
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201702;105,4878;2,8;NA;Pampeana
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201702;100,452;0,9;NA;Noreste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201702;106,6775;3,2;NA;Noroeste
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201702;104,684;1,8;NA;Cuyo
07.2.2;Combustibles y lubricantes para vehículos de uso del hogar;Clase;201702;107,1362;2,6;NA;Patagonia
0;Nivel general;Nivel general y divisiones COICOP;201702;103,8085;2,5;NA;GBA
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201702;103,1646;1,8;NA;GBA
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201702;105,4806;5;NA;GBA
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201702;97,4253;-0,5;NA;GBA
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201702;108,4042;8,4;NA;GBA
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201702;101,2178;0,3;NA;GBA
06;Salud;Nivel general y divisiones COICOP;201702;104,6961;3,3;NA;GBA
07;Transporte;Nivel general y divisiones COICOP;201702;103,5441;1,8;NA;GBA
08;Comunicación;Nivel general y divisiones COICOP;201702;108,0484;4,1;NA;GBA
09;Recreación y cultura;Nivel general y divisiones COICOP;201702;103,3096;0,1;NA;GBA
10;Educación;Nivel general y divisiones COICOP;201702;104,936;4,4;NA;GBA
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201702;105,1373;1,8;NA;GBA
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201702;104,1416;2;NA;GBA
01.1;Alimentos;Grupos;201702;103,3191;2;NA;GBA
01.2;Bebidas no alcohólicas;Grupos;201702;102,1528;0,7;NA;GBA
02.1;Bebidas alcohólicas;Grupos;201702;103,1147;1,9;NA;GBA
02.2;Tabaco;Grupos;201702;107,2951;7,3;NA;GBA
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201703;103,9781;1,7;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201703;107,7278;2,4;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201703;106,3092;1,9;NA;Noreste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201703;107,1161;1,6;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201703;107,6177;3,8;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201703;106,5579;1,1;NA;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201703;102,397;2,5;NA;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201703;103,2313;2,8;NA;Noreste
01.1;Alimentos;Grupos;201703;103,69;1,7;NA;Patagonia
01.2;Bebidas no alcohólicas;Grupos;201703;105,6807;0,9;NA;Pampeana
01.2;Bebidas no alcohólicas;Grupos;201703;104,8377;1;NA;Noreste
01.2;Bebidas no alcohólicas;Grupos;201703;105,8768;1;NA;Noroeste
01.2;Bebidas no alcohólicas;Grupos;201703;108,2453;1,3;NA;Cuyo
01.2;Bebidas no alcohólicas;Grupos;201703;106,6633;1,2;NA;Patagonia
02.1;Bebidas alcohólicas;Grupos;201703;108,697;2,6;NA;Pampeana
02.1;Bebidas alcohólicas;Grupos;201703;105,8973;2,7;NA;Noreste
02.1;Bebidas alcohólicas;Grupos;201703;107,4892;2,5;NA;Noroeste
02.1;Bebidas alcohólicas;Grupos;201703;108,789;3,6;NA;Cuyo
02.1;Bebidas alcohólicas;Grupos;201703;107,7168;1,5;NA;Patagonia
02.2;Tabaco;Grupos;201703;106,8624;2,1;NA;Pampeana
02.2;Tabaco;Grupos;201703;106,833;1;NA;Noreste
02.2;Tabaco;Grupos;201703;106,8251;0,8;NA;Noroeste
02.2;Tabaco;Grupos;201703;106,8419;3,9;NA;Cuyo
02.2;Tabaco;Grupos;201703;105,7869;0,9;NA;Patagonia
03.1;Prendas de vestir y materiales;Grupos;201703;102,383;2,5;NA;Pampeana
03.1;Prendas de vestir y materiales;Grupos;201703;103,8599;2,7;NA;Noreste
03.1;Prendas de vestir y materiales;Grupos;201703;101,433;1,7;NA;Noroeste
03.1;Prendas de vestir y materiales;Grupos;201703;99,9563;2,6;NA;Cuyo
03.1;Prendas de vestir y materiales;Grupos;201703;103,7166;2,5;NA;Patagonia
03.2;Calzado;Grupos;201703;102,4362;2,4;NA;Pampeana
03.2;Calzado;Grupos;201703;101,8509;2,9;NA;Noreste
03.2;Calzado;Grupos;201703;103,8727;2;NA;Noroeste
03.2;Calzado;Grupos;201703;99,9913;1,9;NA;Cuyo
03.2;Calzado;Grupos;201703;107,269;2;NA;Patagonia
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201703;105,2229;1,3;NA;Pampeana
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201703;112,4311;3,4;NA;Noreste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201703;106,3262;1,4;NA;Noroeste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201703;107,1889;1,3;NA;Cuyo
01.1.1;Pan y cereales;Clase;201703;106,075;2,6;NA;Cuyo
01.1.1;Pan y cereales;Clase;201703;104,6328;2;NA;Patagonia
01.1.2;Carnes y derivados;Clase;201703;102,9773;2,9;NA;Pampeana
01.1.2;Carnes y derivados;Clase;201703;102,9874;2,3;NA;Noreste
01.1.2;Carnes y derivados;Clase;201703;102,47;1,6;NA;Noroeste
01.1.2;Carnes y derivados;Clase;201703;102,5817;2,5;NA;Cuyo
01.1.2;Carnes y derivados;Clase;201703;102,5754;1,4;NA;Patagonia
01.1.4;Leche, productos lácteos y huevos;Clase;201703;108,2505;2,7;NA;Pampeana
01.1.4;Leche, productos lácteos y huevos;Clase;201703;108,627;3;NA;Noreste
01.1.4;Leche, productos lácteos y huevos;Clase;201703;108,5539;3,7;NA;Noroeste
01.1.4;Leche, productos lácteos y huevos;Clase;201703;107,9784;3;NA;Cuyo
01.1.4;Leche, productos lácteos y huevos;Clase;201703;108,8773;3,7;NA;Patagonia
01.1.5;Aceites, grasas y manteca;Clase;201703;106,4166;1,7;NA;Pampeana
01.1.5;Aceites, grasas y manteca;Clase;201703;104,1701;-1;NA;Noreste
01.1.5;Aceites, grasas y manteca;Clase;201703;120,0353;1,3;NA;Noroeste
01.1.5;Aceites, grasas y manteca;Clase;201703;111,199;-0,7;NA;Cuyo
01.1.5;Aceites, grasas y manteca;Clase;201703;107,2931;2,6;NA;Patagonia
01.1.6;Frutas;Clase;201703;104,1434;-1,3;NA;Pampeana
01.1.6;Frutas;Clase;201703;96,1416;-8,1;NA;Noreste
01.1.6;Frutas;Clase;201703;104,3238;-0,3;NA;Noroeste
01.1.6;Frutas;Clase;201703;101,049;-2,4;NA;Cuyo
01.1.6;Frutas;Clase;201703;102,9771;-1,3;NA;Patagonia
01.1.7;Verduras, tubérculos y legumbres;Clase;201703;111,0766;4,1;NA;Pampeana
01.1.7;Verduras, tubérculos y legumbres;Clase;201703;111,7862;1,9;NA;Noreste
01.1.7;Verduras, tubérculos y legumbres;Clase;201703;113,5278;0,8;NA;Noroeste
01.1.7;Verduras, tubérculos y legumbres;Clase;201703;109,7505;3,8;NA;Cuyo
01.1.7;Verduras, tubérculos y legumbres;Clase;201703;97,7298;1,1;NA;Patagonia
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201703;104,9005;1,1;NA;Pampeana
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201703;109,4491;3;NA;Noreste
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201703;110,3367;4,3;NA;Noroeste
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201703;106,6793;3;NA;Cuyo
01.1.8;Azúcar, dulces, chocolate, golosinas, etc.;Clase;201703;105,6044;1,6;NA;Patagonia
01.2.1;Café, té, yerba y cacao;Clase;201703;105,7586;1,1;NA;Pampeana
01.2.1;Café, té, yerba y cacao;Clase;201703;105,0738;2,8;NA;Noreste
01.2.1;Café, té, yerba y cacao;Clase;201703;103,7632;0,6;NA;Noroeste
01.2.1;Café, té, yerba y cacao;Clase;201703;104,9074;1,6;NA;Cuyo
01.2.1;Café, té, yerba y cacao;Clase;201703;106,852;1,6;NA;Patagonia
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201703;105,6501;0,9;NA;Pampeana
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201703;104,7566;0,4;NA;Noreste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201703;106,2373;1,1;NA;Noroeste
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201703;109,2144;1,3;NA;Cuyo
01.2.2;Aguas minerales, bebidas gaseosas y jugos;Clase;201703;106,5968;1,1;NA;Patagonia
04.1.1;Alquiler de la vivienda;Clase;201703;105,9296;2,3;NA;Pampeana
04.1.1;Alquiler de la vivienda;Clase;201703;113,4159;4,1;NA;Noreste
04.1.1;Alquiler de la vivienda;Clase;201703;106,7926;2;NA;Noroeste
04.1.1;Alquiler de la vivienda;Clase;201703;107,5298;1,7;NA;Cuyo
04.1.1;Alquiler de la vivienda;Clase;201703;106,8135;1,7;NA;Patagonia
06.4.1;Gastos de prepagas;Clase;201703;107,2351;2;NA;Pampeana
0;Nivel general;Nivel general y divisiones COICOP;201704;109,9626;2,7;NA;Noroeste
0;Nivel general;Nivel general y divisiones COICOP;201704;109,4506;3,3;NA;Cuyo
0;Nivel general;Nivel general y divisiones COICOP;201704;108,6517;2;NA;Patagonia
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201704;107,6223;2;NA;Pampeana
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201704;107,9352;2,8;NA;Noreste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201704;108,3813;2,2;NA;Noroeste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201704;108,662;2,9;NA;Cuyo
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201704;105,4772;1,4;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201704;110,2615;2,4;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201704;109,4168;2,9;NA;Noreste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201704;109,2687;2;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201704;110,4164;2,6;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201704;109,665;2,9;NA;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201704;107,7653;5,2;NA;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201704;103,2573;0;NA;Noreste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201704;105,8574;3,6;NA;Noroeste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201704;103,6297;3,7;NA;Cuyo
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201704;105,76;0,9;NA;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201704;115,7988;7,5;NA;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201704;116,5835;2,9;NA;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201704;131,8395;8,6;NA;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201704;122,532;9,5;NA;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201704;119,3459;3,4;NA;Patagonia
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201704;103,234;1,1;NA;Pampeana
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201704;104,9504;1,7;NA;Noreste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201704;103,1266;1,1;NA;Noroeste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201704;103,4704;1;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201704;103,6556;1,3;NA;Patagonia
06;Salud;Nivel general y divisiones COICOP;201704;109,6556;2;NA;Pampeana
06;Salud;Nivel general y divisiones COICOP;201704;110,3274;2,5;NA;Noreste
06;Salud;Nivel general y divisiones COICOP;201704;109,2143;2;NA;Noroeste
06;Salud;Nivel general y divisiones COICOP;201704;109,9679;2,2;NA;Cuyo
06;Salud;Nivel general y divisiones COICOP;201704;110,6841;1,8;NA;Patagonia
07;Transporte;Nivel general y divisiones COICOP;201704;106,4751;0,7;NA;Pampeana
07;Transporte;Nivel general y divisiones COICOP;201704;102,8986;0,5;NA;Noreste
07;Transporte;Nivel general y divisiones COICOP;201704;106,9891;0,5;NA;Noroeste
07;Transporte;Nivel general y divisiones COICOP;201704;108,5852;0,8;NA;Cuyo
07;Transporte;Nivel general y divisiones COICOP;201704;107,5492;1,2;NA;Patagonia
08;Comunicación;Nivel general y divisiones COICOP;201704;118,1294;6,4;NA;Pampeana
03.2;Calzado;Grupos;201704;106,7827;2,8;NA;Noroeste
03.2;Calzado;Grupos;201704;98,3566;-1,6;NA;Cuyo
03.2;Calzado;Grupos;201704;103,9692;-3,1;NA;Patagonia
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201704;107,2174;1,9;NA;Pampeana
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201704;114,5547;1,9;NA;Noreste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201704;107,8269;1,4;NA;Noroeste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201704;112,7523;5,2;NA;Cuyo
04.1;Alquiler de la vivienda y gastos conexos;Grupos;201704;108,4347;1,7;NA;Patagonia
04.5;Electricidad, gas y otros combustibles;Grupos;201704;131,0555;18,1;NA;Pampeana
04.5;Electricidad, gas y otros combustibles;Grupos;201704;122,1095;4,8;NA;Noreste
04.5;Electricidad, gas y otros combustibles;Grupos;201704;151,5077;14;NA;Noroeste
04.5;Electricidad, gas y otros combustibles;Grupos;201704;140,4754;18,6;NA;Cuyo
04.5;Electricidad, gas y otros combustibles;Grupos;201704;133,7375;7,8;NA;Patagonia
05.6;Bienes y servicios para la conservación del hogar;Grupos;201704;104,1183;1;NA;Pampeana
05.6;Bienes y servicios para la conservación del hogar;Grupos;201704;105,0002;0,8;NA;Noreste
05.6;Bienes y servicios para la conservación del hogar;Grupos;201704;103,8764;0,8;NA;Noroeste
05.6;Bienes y servicios para la conservación del hogar;Grupos;201704;103,8857;0,8;NA;Cuyo
05.6;Bienes y servicios para la conservación del hogar;Grupos;201704;103,4467;0,3;NA;Patagonia
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201704;111,0665;3,1;NA;Pampeana
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201704;111,1536;3,2;NA;Noreste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201704;110,9099;3;NA;Noroeste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201704;111,4339;3,1;NA;Cuyo
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;201704;112,6106;2,8;NA;Patagonia
07.1;Adquisición de vehículos;Grupos;201704;104,7468;1,4;NA;Pampeana
07.1;Adquisición de vehículos;Grupos;201704;104,8303;0,9;NA;Noreste
07.1;Adquisición de vehículos;Grupos;201704;106,4279;1,6;NA;Noroeste
07.1;Adquisición de vehículos;Grupos;201704;107,2061;0,8;NA;Cuyo
07.1;Adquisición de vehículos;Grupos;201704;106,6492;2,9;NA;Patagonia
07.2;Funcionamiento de equipos de transporte personal;Grupos;201704;106,5695;-0,1;NA;Pampeana
07.2;Funcionamiento de equipos de transporte personal;Grupos;201704;101,9295;-0,1;NA;Noreste
07.2;Funcionamiento de equipos de transporte personal;Grupos;201704;106,5662;0,1;NA;Noroeste
07.2;Funcionamiento de equipos de transporte personal;Grupos;201704;106,5195;0,2;NA;Cuyo
07.2;Funcionamiento de equipos de transporte personal;Grupos;201704;106,8891;0,1;NA;Patagonia
07.3;Transporte público;Grupos;201704;108,7333;2;NA;Pampeana
07.3;Transporte público;Grupos;201704;102,6091;1,6;NA;Noreste
07.3;Transporte público;Grupos;201704;108,1736;0,5;NA;Noroeste
07.3;Transporte público;Grupos;201704;116,7101;2,3;NA;Cuyo
07.3;Transporte público;Grupos;201704;111,0033;0,4;NA;Patagonia
08.3;Servicios de telefonía e internet;Grupos;201704;118,4939;6,6;NA;Pampeana
08.3;Servicios de telefonía e internet;Grupos;201704;120,1146;8,3;NA;Noreste
08.3;Servicios de telefonía e internet;Grupos;201704;120,1849;6,9;NA;Noroeste
08.3;Servicios de telefonía e internet;Grupos;201704;117,4702;8,9;NA;Cuyo
08.3;Servicios de telefonía e internet;Grupos;201704;115,1985;7;NA;Patagonia
09.4;Servicios recreativos y culturales;Grupos;201704;113,9555;1,7;NA;Pampeana
09.4;Servicios recreativos y culturales;Grupos;201704;109,9417;1;NA;Noreste
09.4;Servicios recreativos y culturales;Grupos;201704;114,2659;3,8;NA;Noroeste
09.4;Servicios recreativos y culturales;Grupos;201704;112,3921;1;NA;Cuyo
09.4;Servicios recreativos y culturales;Grupos;201704;114,5227;3,2;NA;Patagonia
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201704;107,6145;1,7;NA;Pampeana
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201704;113,3606;5,9;NA;Noreste
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201704;107,121;1,2;NA;Noroeste
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;201704;109,5933;1,8;NA;Cuyo
